batchnum,loss,cer,time
batch 28300, ctc loss: 1.030530, cer: 0.233337, time/batch:   0.755
batch 28400, ctc loss: 1.024131, cer: 0.230696, time/batch:   0.721
batch 28500, ctc loss: 1.023008, cer: 0.230820, time/batch:   0.731
batch 28600, ctc loss: 1.047564, cer: 0.233998, time/batch:   0.755
batch 28700, ctc loss: 1.032409, cer: 0.235030, time/batch:   0.733
batch 28800, ctc loss: 1.044506, cer: 0.233915, time/batch:   0.734
batch 28900, ctc loss: 1.030832, cer: 0.232306, time/batch:   0.749
batch 29000, ctc loss: 1.038585, cer: 0.233874, time/batch:   0.762
batch 29100, ctc loss: 1.049225, cer: 0.240560, time/batch:   0.757
batch 29200, ctc loss: 1.034846, cer: 0.235236, time/batch:   0.730
batch 29300, ctc loss: 1.042259, cer: 0.235071, time/batch:   0.754
batch 29400, ctc loss: 1.046450, cer: 0.234369, time/batch:   0.742
batch 29500, ctc loss: 1.054546, cer: 0.235360, time/batch:   0.747
batch 29600, ctc loss: 1.051745, cer: 0.234493, time/batch:   0.754
batch 29700, ctc loss: 1.059873, cer: 0.235607, time/batch:   0.741
batch 29800, ctc loss: 1.043621, cer: 0.238579, time/batch:   0.753
batch 29900, ctc loss: 1.045444, cer: 0.235401, time/batch:   0.746
batch 30000, ctc loss: 1.039241, cer: 0.235071, time/batch:   0.749
batch 30100, ctc loss: 1.032951, cer: 0.235855, time/batch:   0.742
batch 30200, ctc loss: 1.029009, cer: 0.236144, time/batch:   0.738
batch 30300, ctc loss: 1.019539, cer: 0.235030, time/batch:   0.748
batch 30400, ctc loss: 1.026137, cer: 0.233461, time/batch:   0.752
batch 30500, ctc loss: 1.029568, cer: 0.231315, time/batch:   0.746
batch 30600, ctc loss: 1.032117, cer: 0.232471, time/batch:   0.746
batch 30700, ctc loss: 1.037902, cer: 0.229788, time/batch:   0.732
batch 30800, ctc loss: 1.048923, cer: 0.234122, time/batch:   0.747
batch 30900, ctc loss: 1.044760, cer: 0.231315, time/batch:   0.745
batch 31000, ctc loss: 1.039268, cer: 0.232017, time/batch:   0.729
