batchnum,loss,cer,time
batch 27700, ctc loss: 1.248265, cer: 0.320416, time/batch:   0.841
batch 27800, ctc loss: 1.251851, cer: 0.320045, time/batch:   0.843
batch 27900, ctc loss: 1.262051, cer: 0.315010, time/batch:   0.831
batch 28000, ctc loss: 1.266306, cer: 0.319384, time/batch:   0.851
batch 28100, ctc loss: 1.269968, cer: 0.320251, time/batch:   0.843
batch 28200, ctc loss: 1.266950, cer: 0.318022, time/batch:   0.826
batch 28300, ctc loss: 1.279083, cer: 0.317238, time/batch:   0.848
batch 28400, ctc loss: 1.269614, cer: 0.316083, time/batch:   0.813
batch 28500, ctc loss: 1.273481, cer: 0.313648, time/batch:   0.827
batch 28600, ctc loss: 1.268363, cer: 0.315051, time/batch:   0.848
batch 28700, ctc loss: 1.267670, cer: 0.313483, time/batch:   0.825
batch 28800, ctc loss: 1.267430, cer: 0.318889, time/batch:   0.831
batch 28900, ctc loss: 1.263448, cer: 0.311832, time/batch:   0.842
batch 29000, ctc loss: 1.270351, cer: 0.310470, time/batch:   0.857
batch 29100, ctc loss: 1.259871, cer: 0.315134, time/batch:   0.854
batch 29200, ctc loss: 1.287843, cer: 0.315257, time/batch:   0.825
batch 29300, ctc loss: 1.266356, cer: 0.315546, time/batch:   0.847
batch 29400, ctc loss: 1.269712, cer: 0.311914, time/batch:   0.834
batch 29500, ctc loss: 1.267170, cer: 0.312822, time/batch:   0.839
batch 29600, ctc loss: 1.263585, cer: 0.317238, time/batch:   0.847
batch 29700, ctc loss: 1.278450, cer: 0.313689, time/batch:   0.834
batch 29800, ctc loss: 1.265038, cer: 0.315257, time/batch:   0.846
batch 29900, ctc loss: 1.269429, cer: 0.313483, time/batch:   0.840
